,level_0,index,Iso3,StartDate,EndDate,Area,Item Code,Item,Element,Year,Months Code,Months,Value
506,506,8689,MYS,01/01/1994,31/12/1994,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),1994,7021,Annual value,45
507,507,8690,MYS,01/01/1995,31/12/1995,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),1995,7021,Annual value,45
508,508,8691,MYS,01/01/1996,31/12/1996,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),1996,7021,Annual value,46
509,509,8692,MYS,01/01/1997,31/12/1997,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),1997,7021,Annual value,46
510,510,8693,MYS,01/01/1998,31/12/1998,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),1998,7021,Annual value,47
511,511,8694,MYS,01/01/1999,31/12/1999,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),1999,7021,Annual value,48
512,512,8695,MYS,01/01/2000,31/12/2000,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2000,7021,Annual value,50
513,513,8696,MYS,01/01/2001,31/12/2001,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2001,7021,Annual value,48
514,514,8697,MYS,01/01/2002,31/12/2002,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2002,7021,Annual value,50
515,515,8698,MYS,01/01/2003,31/12/2003,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2003,7021,Annual value,52
516,516,8699,MYS,01/01/2004,31/12/2004,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2004,7021,Annual value,56
517,517,8700,MYS,01/01/2005,31/12/2005,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2005,7021,Annual value,56
518,518,8701,MYS,01/01/2006,31/12/2006,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2006,7021,Annual value,62
519,519,8702,MYS,01/01/2007,31/12/2007,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2007,7021,Annual value,85
520,520,8703,MYS,01/01/2008,31/12/2008,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2008,7021,Annual value,97
521,521,8704,MYS,01/01/2009,31/12/2009,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2009,7021,Annual value,79
522,522,8705,MYS,01/01/2010,31/12/2010,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2010,7021,Annual value,106
523,523,8706,MYS,01/01/2011,31/12/2011,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2011,7021,Annual value,132
524,524,8707,MYS,01/01/2012,31/12/2012,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2012,7021,Annual value,118
525,525,8708,MYS,01/01/2013,31/12/2013,Malaysia,667,Tea,Producer Price Index (2014-2016 = 100),2013,7021,Annual value,111
